Schengen State,Country where consulate is located,Consulate,ATVs applied, ATVs issued (including multiple),ATVs not issued ,Uniform visas applied for,"uniform visas issued including MEVs
",Multiple entry uniform visas (MEVs) issued,Share of MEVs on total number of uniform visas issued,Total LTVs issued,Uniform visas not issued,Not issued rate for uniform visas,Total ATVs and uniform visas applied for,"Total ATVs and uniform visas issued  (including multiple ATVs, MEVs and LTVs) ",Total ATVs and uniform visas not issued,Not issued rate for ATVs and uniform visas 
Austria,UNITED KINGDOM,LONDON,1.0,1.0,0.0,3162.0,2940.0,1401.0,47.7,34.0,188.0,5.945604048070841,3163.0,2975.0,188.0,5.943724312361682
Austria,USA,"LOS ANGELES, CA",0.0,0.0,0.0,738.0,711.0,709.0,99.7,0.0,27.0,3.6585365853658534,738.0,711.0,27.0,3.6585365853658534
Austria,USA,"NEW YORK, NY",0.0,0.0,0.0,1007.0,950.0,628.0,66.1,2.0,55.0,5.461767626613704,1007.0,952.0,55.0,5.461767626613704
Austria,USA,"WASHINGTON, DC",0.0,0.0,0.0,474.0,460.0,460.0,100.0,2.0,12.0,2.5316455696202533,474.0,462.0,12.0,2.5316455696202533
Austria,VENEZUELA,CARACAS,0.0,0.0,0.0,4.0,4.0,2.0,50.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0
Austria,VIETNAM,HANOI,0.0,0.0,0.0,1985.0,1887.0,640.0,33.9,2.0,96.0,4.8362720403022665,1985.0,1889.0,96.0,4.8362720403022665
Belgium,ALGERIA,ALGIERS,0.0,0.0,0.0,6901.0,3802.0,2007.0,52.8,307.0,2480.0,35.93682075061586,6901.0,4109.0,2480.0,35.93682075061586
Belgium,ANGOLA,LUANDA,2.0,0.0,0.0,1909.0,1045.0,554.0,53.0,1.0,788.0,41.27815610267155,1911.0,1046.0,788.0,41.23495552066981
Belgium,ARGENTINA,BUENOS AIRES,0.0,0.0,0.0,12.0,10.0,6.0,60.0,2.0,0.0,0.0,12.0,10.0,2.0,16.666666666666664
Belgium,AUSTRALIA,CANBERRA,0.0,0.0,0.0,260.0,231.0,75.0,32.5,22.0,7.0,2.6923076923076925,260.0,231.0,7.0,2.6923076923076925
Belgium,AUSTRIA,VIENNA,0.0,0.0,0.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Belgium,BELGIUM,BRUSSELS,0.0,0.0,0.0,26.0,23.0,10.0,43.5,3.0,0.0,0.0,26.0,23.0,3.0,11.538461538461538
Belgium,BRAZIL,SAO PAULO,0.0,0.0,0.0,38.0,23.0,16.0,69.6,8.0,7.0,18.421052631578945,38.0,23.0,7.0,18.421052631578945
Belgium,BULGARIA,SOFIA,0.0,0.0,0.0,83.0,72.0,38.0,52.8,7.0,4.0,4.819277108433735,83.0,72.0,4.0,4.819277108433735
Belgium,BURKINA FASO,OUAGADOUGOU,0.0,0.0,0.0,2790.0,2064.0,906.0,43.9,1.0,550.0,19.71326164874552,2790.0,2065.0,550.0,19.71326164874552
Belgium,BURUNDI,BUJUMBURA,0.0,0.0,0.0,3547.0,2320.0,323.0,13.9,4.0,796.0,22.441499859035805,3547.0,2324.0,796.0,22.441499859035805
Belgium,CAMEROON,YAONDE,1.0,0.0,0.0,4349.0,2493.0,967.0,38.8,316.0,1540.0,35.41043918142102,4350.0,2493.0,1540.0,35.40229885057472
Belgium,CANADA,MONTREAL,0.0,0.0,0.0,750.0,519.0,96.0,18.5,5.0,138.0,18.4,750.0,524.0,138.0,18.4
Belgium,CHILE,SANTIAGO DE CHILE,0.0,0.0,0.0,68.0,44.0,32.0,72.7,1.0,9.0,13.23529411764706,68.0,45.0,9.0,13.23529411764706
Belgium,CHINA,BEIJING,0.0,0.0,0.0,26525.0,25595.0,10276.0,40.1,4.0,777.0,2.929311969839774,26525.0,25599.0,777.0,2.929311969839774
Belgium,CHINA,GUANGZHOU (CANTON),0.0,0.0,0.0,5685.0,5476.0,1236.0,22.6,17.0,192.0,3.37730870712401,5685.0,5476.0,192.0,3.37730870712401
Belgium,CHINA,SHANGHAI,2.0,1.0,1.0,7365.0,7045.0,2224.0,31.6,95.0,225.0,3.054989816700611,7367.0,7046.0,226.0,3.0677344916519615
Belgium,COLOMBIA,BOGOTA,0.0,0.0,0.0,16.0,14.0,12.0,85.7,2.0,0.0,0.0,16.0,14.0,2.0,12.5
Belgium,CONGO (DEMOCRATIC REPUBLIC),KINSHASA,2.0,1.0,0.0,2289.0,1634.0,482.0,29.5,-988.0,1643.0,71.77806902577545,2291.0,1635.0,1643.0,71.71540811872545
Belgium,CONGO (DEMOCRATIC REPUBLIC),LUBUMBASHI,0.0,0.0,0.0,83.0,59.0,16.0,27.1,-48.0,72.0,86.74698795180723,83.0,59.0,72.0,86.74698795180723
Belgium,COTE D'IVOIRE,ABIDJAN ,1.0,0.0,0.0,2688.0,1624.0,705.0,43.4,80.0,984.0,36.607142857142854,2689.0,1624.0,984.0,36.59352919300856
Belgium,CROATIA,ZAGREB,0.0,0.0,0.0,21.0,16.0,8.0,50.0,3.0,2.0,9.523809523809524,21.0,16.0,2.0,9.523809523809524
Belgium,CUBA,HAVANA,0.0,0.0,0.0,1414.0,1127.0,1038.0,92.1,1.0,174.0,12.305516265912306,1414.0,1128.0,174.0,12.305516265912306
Belgium,CZECH REPUBLIC,PRAGUE,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0,1.0,,1.0,100.0
Belgium,EGYPT,CAIRO,0.0,0.0,0.0,3250.0,1946.0,464.0,23.8,15.0,1111.0,34.184615384615384,3250.0,1961.0,1111.0,34.184615384615384
Belgium,ETHIOPIA,ADDIS ABEBA,0.0,0.0,0.0,1132.0,858.0,450.0,52.4,28.0,149.0,13.162544169611307,1132.0,886.0,149.0,13.162544169611307
Belgium,FINLAND,HELSINKI,0.0,0.0,0.0,5.0,4.0,1.0,25.0,1.0,0.0,0.0,5.0,4.0,1.0,20.0
