Schengen State,Country where consulate is located,Consulate,ATVs applied, ATVs issued (including multiple),Multiple ATVs issued,ATVs not issued ,Not issued rate for ATVs,Uniform visas applied for,"uniform visas issued including MEVs
",Multiple entry uniform visas (MEVs) issued,Share of MEVs on total number of uniform visas issued,Total LTVs issued,Uniform visas not issued,Not issued rate for uniform visas,Total ATVs and uniform visas applied for,"Total ATVs and uniform visas issued  (including multiple ATVs, MEVs and LTVs) ",Total ATVs and uniform visas not issued,Not issued rate for ATVs and uniform visas 
Czech Republic,UZBEKISTAN,TASHKENT,,,,,,2958,2371,203,8.60%,11,576,19.50%,"2,958","2,382",576,19.50%
Czech Republic,VIETNAM,HANOI,,,,,,1359,868,14,1.60%,,491,36.10%,"1,359",868,491,36.10%
Czech Republic,ZAMBIA,LUSAKA,,,,,,42,33,11,33.30%,,7,16.70%,42,33,7,16.70%
Denmark,AFGHANISTAN,KABUL,,,,,,69,50,3,6.00%,8,2,2.90%,69,58,2,2.90%
Denmark,AUSTRALIA,SYDNEY,,,,,,700,674,301,44.70%,,7,1.00%,700,674,7,1.00%
Denmark,AUSTRIA,VIENNA,,,,,,12,10,9,90.00%,,,,12,10,,
Denmark,BANGLADESH,DHAKA,,,,,,1586,1324,156,11.80%,9,224,14.10%,"1,586","1,333",224,14.10%
Denmark,BELGIUM,BRUSSELS,,,,,,11,9,1,11.10%,,,,11,9,,
Denmark,BULGARIA,SOFIA,,,,,,50,38,30,78.90%,,2,4.00%,50,38,2,4.00%
Denmark,BURKINA FASO,OUAGADOUGOU,,,,,,215,181,60,33.10%,,26,12.10%,215,181,26,12.10%
Denmark,CANADA,OTTAWA,,,,,,2760,2602,859,33.00%,5,57,2.10%,"2,760","2,607",57,2.10%
Denmark,CHINA,BEIJING,1,1,,,,13727,13150,2957,22.50%,1,368,2.70%,"13,728","13,152",368,2.70%
Denmark,CHINA,GUANGZHOU (CANTON),,,,,,15225,14937,2009,13.40%,1,210,1.40%,"15,225","14,938",210,1.40%
Denmark,CHINA,SHANGHAI,,,,,,17316,16487,3870,23.50%,2,428,2.50%,"17,316","16,489",428,2.50%
Denmark,DENMARK,COPENHAGEN,,,,,,750,720,226,31.40%,2,7,0.90%,750,722,7,0.90%
Denmark,EGYPT,CAIRO,1,1,,,,1790,1542,763,49.50%,1,238,13.30%,"1,791","1,544",238,13.30%
Denmark,ETHIOPIA,ADDIS ABEBA,,,,,,378,297,97,32.70%,4,70,18.50%,378,301,70,18.50%
Denmark,FINLAND,HELSINKI,,,,,,18,15,1,6.70%,,,,18,15,,
Denmark,FRANCE,PARIS,,,,,,23,19,5,26.30%,1,1,4.30%,23,20,1,4.30%
Denmark,GERMANY,BERLIN,,,,,,18,17,7,41.20%,,,,18,17,,
Denmark,GERMANY,FLENSBURG,,,,,,21,19,19,100.00%,,1,4.80%,21,19,1,4.80%
Denmark,GHANA,ACCRA,1,,,,,2705,1185,531,44.80%,,1385,51.20%,"2,706","1,185","1,385",51.20%
Denmark,GREECE,ATHENS,,,,,,3,3,1,33.30%,,,,3,3,,
Denmark,HUNGARY,BUDAPEST,,,,,,4,2,2,100.00%,1,,,4,3,,
Denmark,ICELAND,REYKJAVIK,,,,,,88,88,18,20.50%,,,,88,88,,
Denmark,INDIA,NEW DELHI,,,,,,23275,21890,18884,86.30%,1,949,4.10%,"23,275","21,891",949,4.10%
Denmark,INDONESIA,JAKARTA,5,5,5,,,4408,4369,2954,67.60%,,35,0.80%,"4,413","4,374",35,0.80%
Denmark,IRAN,TEHERAN,,,,,,2970,2012,762,37.90%,33,851,28.70%,"2,970","2,045",851,28.70%
Denmark,IRELAND,DUBLIN,,,,,,848,820,187,22.80%,,1,0.10%,848,820,1,0.10%
Denmark,ISRAEL,TEL AVIV,,,,,,308,280,58,20.70%,3,31,10.10%,308,283,31,10.10%
Denmark,ITALY,ROME,,,,,,12,7,6,85.70%,2,3,25.00%,12,9,3,25.00%
Denmark,JAPAN,TOKYO,,,,,,321,321,27,8.40%,,2,0.60%,321,321,2,0.60%
Denmark,KENYA,NAIROBI,1,1,,,,1660,1363,306,22.50%,4,203,12.20%,"1,661","1,368",203,12.20%
Denmark,LATVIA,RIGA,,,,,,10,7,1,14.30%,1,1,10.00%,10,8,1,10.00%
Denmark,LEBANON,BEIRUT,,,,,,1508,1009,495,49.10%,10,485,32.20%,"1,508","1,019",485,32.20%
Denmark,MALAYSIA,KUALA LUMPUR,1,1,1,,,440,354,136,38.40%,,76,17.30%,441,355,76,17.20%
Denmark,MALI,BAMAKO,,,,,,483,300,91,30.30%,1,150,31.10%,483,301,150,31.10%
Denmark,MEXICO,MEXICO CITY,,,,,,46,45,30,66.70%,,,,46,45,,
Denmark,MOROCCO,RABAT,,,,,,1971,1621,684,42.20%,1,296,15.00%,"1,971","1,622",296,15.00%
Denmark,NETHERLANDS,THE HAGUE,,,,,,26,26,,,,,,26,26,,
Denmark,NIGERIA,ABUJA,4,4,,,,1550,663,213,32.10%,2,807,52.10%,"1,554",669,807,51.90%
Denmark,NORWAY,OSLO,,,,,,19,18,12,66.70%,,,,19,18,,
Denmark,PAKISTAN,ISLAMABAD,,,,,,2786,1311,650,49.60%,4,1349,48.40%,"2,786","1,315","1,349",48.40%
Denmark,PHILIPPINES,MANILA,3,2,,1,33.30%,7078,6509,5219,80.20%,3,528,7.50%,"7,081","6,514",529,7.50%
Denmark,POLAND,WARSAW,,,,,,3,2,2,100.00%,,1,33.30%,3,2,1,33.30%
Denmark,PORTUGAL,LISBON,,,,,,17,15,14,93.30%,,,,17,15,,
Denmark,ROMANIA,BUCHAREST,,,,,,30,25,7,28.00%,,4,13.30%,30,25,4,13.30%
Denmark,RUSSIAN FEDERATION,MOSCOW,1,1,1,,,9073,8898,4304,48.40%,19,106,1.20%,"9,074","8,918",106,1.20%
Denmark,SAUDI ARABIA,RIYADH,,,,,,1384,1157,687,59.40%,1,140,10.10%,"1,384","1,158",140,10.10%
Denmark,SERBIA,BELGRADE,,,,,,23,21,15,71.40%,,3,13.00%,23,21,3,13.00%
Denmark,SINGAPORE,SINGAPORE,,,,,,3472,3416,2849,83.40%,,16,0.50%,"3,472","3,416",16,0.50%
Denmark,SOUTH AFRICA,PRETORIA,,,,,,3579,3528,2532,71.80%,3,33,0.90%,"3,579","3,531",33,0.90%
Denmark,SPAIN,MADRID,,,,,,13,6,1,16.70%,,1,7.70%,13,6,1,7.70%
Denmark,SWEDEN,STOCKHOLM,1,1,,,,27,22,19,86.40%,3,3,11.10%,28,26,3,10.70%
Denmark,TAIWAN,TAIPEI,,,,,,44,42,19,45.20%,,,,44,42,,
Denmark,THAILAND,BANGKOK,,,,,,12831,12011,4574,38.10%,2,886,6.90%,"12,831","12,013",886,6.90%
Denmark,TURKEY,ANKARA,2,2,2,,,3817,3096,1887,60.90%,4,613,16.10%,"3,819","3,102",613,16.10%
Denmark,TURKEY,ISTANBUL,2,2,2,,,4059,3879,3350,86.40%,6,183,4.50%,"4,061","3,887",183,4.50%
Denmark,UKRAINE,KYIV,,,,,,477,464,282,60.80%,2,14,2.90%,477,466,14,2.90%
Denmark,UNITED ARAB EMIRATES,DUBAI,,,,,,3226,2990,2314,77.40%,5,214,6.60%,"3,226","2,995",214,6.60%
Denmark,UNITED KINGDOM,LONDON,1,1,,,,6899,6794,5532,81.40%,3,25,0.40%,"6,900","6,798",25,0.40%
Denmark,USA,"NEW YORK, NY",,,,,,5346,5023,1585,31.60%,3,17,0.30%,"5,346","5,026",17,0.30%
Denmark,VIETNAM,HANOI,,,,,,2495,2061,292,14.20%,3,420,16.80%,"2,495","2,064",420,16.80%
Estonia,AUSTRALIA,CANBERRA,,,,,,39,38,16,42.10%,,1,2.60%,39,38,1,2.60%
Estonia,BELARUS,MINSK,,,,,,12475,12387,8513,68.70%,9,79,0.60%,"12,475","12,396",79,0.60%
Estonia,CANADA,OTTAWA,,,,,,56,56,32,57.10%,,,,56,56,,
Estonia,CHINA,BEIJING,,,,,,2369,2305,507,22.00%,,64,2.70%,"2,369","2,305",64,2.70%
Estonia,EGYPT,CAIRO,,,,,,279,198,68,34.30%,7,74,26.50%,279,205,74,26.50%
Estonia,FRANCE,PARIS,,,,,,2,2,,,,,,2,2,,
Estonia,GEORGIA,TBILISSI,,,,,,88,35,23,65.70%,,53,60.20%,88,35,53,60.20%
Estonia,INDIA,NEW DELHI,,,,,,2425,1524,984,64.60%,3,898,37.00%,"2,425","1,527",898,37.00%
Estonia,IRELAND,DUBLIN,,,,,,49,49,24,49.00%,,,,49,49,,
Estonia,ISRAEL,TEL AVIV,,,,,,15,12,6,50.00%,3,,,15,15,,
Estonia,JAPAN,TOKYO,,,,,,46,45,16,35.60%,,1,2.20%,46,45,1,2.20%
Estonia,KAZAKHSTAN,ASTANA,,,,,,1869,1788,1083,60.60%,2,79,4.20%,"1,869","1,790",79,4.20%
Estonia,RUSSIAN FEDERATION,MOSCOW,,,,,,40256,39926,36259,90.80%,14,316,0.80%,"40,256","39,940",316,0.80%
Estonia,RUSSIAN FEDERATION,PSKOV,,,,,,12619,12554,12491,99.50%,,65,0.50%,"12,619","12,554",65,0.50%
Estonia,RUSSIAN FEDERATION,ST. PETERSBURG,,,,,,52800,52572,51403,97.80%,1,227,0.40%,"52,800","52,573",227,0.40%
Estonia,TURKEY,ANKARA,,,,,,1112,994,637,64.10%,6,112,10.10%,"1,112","1,000",112,10.10%
Estonia,UKRAINE,KYIV,,,,,,626,561,448,79.90%,,65,10.40%,626,561,65,10.40%
Estonia,UNITED KINGDOM,LONDON,,,,,,239,232,192,82.80%,1,6,2.50%,239,233,6,2.50%
Estonia,USA,"NEW YORK, NY",,,,,,197,187,66,35.30%,2,8,4.10%,197,189,8,4.10%
Finland,ALGERIA,ALGIERS,,,,,,1307,456,171,37.50%,,848,64.90%,"1,307",456,848,64.90%
Finland,ARGENTINA,BUENOS AIRES,,,,,,16,16,5,31.30%,,,,16,16,,
Finland,AUSTRALIA,CANBERRA,,,,,,192,190,61,32.10%,,2,1.00%,192,190,2,1.00%
Finland,BELGIUM,BRUSSELS,,,,,,5,,,,5,,,5,5,,
Finland,BULGARIA,SOFIA,,,,,,111,96,62,64.60%,7,6,5.40%,111,103,6,5.40%
Finland,CANADA,OTTAWA,,,,,,1,,,,,,,1,,,
Finland,CHILE,SANTIAGO DE CHILE,,,,,,9,6,4,66.70%,,3,33.30%,9,6,3,33.30%
Finland,CHINA,BEIJING,,,,,,24653,23207,1037,4.50%,31,1293,5.20%,"24,653","23,238","1,293",5.20%
Finland,CHINA,SHANGHAI,,,,,,14199,13749,1052,7.70%,7,406,2.90%,"14,199","13,756",406,2.90%
Finland,CROATIA,ZAGREB,,,,,,5,5,5,100.00%,,,,5,5,,
Finland,CYPRUS,NICOSIA,,,,,,172,81,32,39.50%,1,85,49.40%,172,82,85,49.40%
Finland,EGYPT,CAIRO,,,,,,985,846,291,34.40%,,131,13.30%,985,846,131,13.30%
Finland,ESTONIA,TALLINN,,,,,,4,4,4,100.00%,,,,4,4,,
Finland,ETHIOPIA,ADDIS ABEBA,,,,,,353,282,14,5.00%,4,63,17.80%,353,286,63,17.80%
Finland,FRANCE,PARIS,,,,,,1,,,,1,,,1,1,,
Finland,GERMANY,BERLIN,,,,,,2,1,,,1,,,2,2,,
Finland,GREECE,ATHENS,,,,,,3,,,,3,,,3,3,,
Finland,HONG KONG S.A.R.,HONG KONG,,,,,,1430,1381,296,21.40%,,15,1.00%,"1,430","1,381",15,1.00%
Finland,INDIA,NEW DELHI,,,,,,11959,11398,7869,69.00%,2,512,4.30%,"11,959","11,400",512,4.30%
Finland,INDONESIA,JAKARTA,,,,,,2795,2725,1128,41.40%,13,48,1.70%,"2,795","2,738",48,1.70%
Finland,IRAN,TEHERAN,,,,,,2909,2107,253,12.00%,19,741,25.50%,"2,909","2,126",741,25.50%
Finland,IRELAND,DUBLIN,,,,,,179,164,70,42.70%,,2,1.10%,179,164,2,1.10%
Finland,ISRAEL,TEL AVIV,,,,,,147,99,25,25.30%,32,14,9.50%,147,131,14,9.50%
Finland,ITALY,ROME,,,,,,1,,,,1,,,1,1,,
Finland,JAPAN,TOKYO,1,1,,,,401,373,61,16.40%,14,12,3.00%,402,388,12,3.00%
Finland,KENYA,NAIROBI,,,,,,753,593,89,15.00%,12,139,18.50%,753,605,139,18.50%
Finland,KOSOVO,PRISTINA,,,,,,3927,18,9,50.00%,2545,1348,34.30%,"3,927","2,563","1,348",34.30%
Finland,LITHUANIA,VILNIUS,,,,,,3,1,,,2,,,3,3,,
Finland,MALAYSIA,KUALA LUMPUR,,,,,,105,71,10,14.10%,6,27,25.70%,105,77,27,25.70%
Finland,MEXICO,MEXICO CITY,,,,,,13,12,5,41.70%,,,,13,12,,
Finland,MOROCCO,RABAT,,,,,,777,389,131,33.70%,1,379,48.80%,777,390,379,48.80%
Finland,MOZAMBIQUE,MAPUTO,,,,,,110,102,16,15.70%,,6,5.50%,110,102,6,5.50%
Finland,NAMIBIA,WINDHOEK,,,,,,778,749,438,58.50%,,25,3.20%,778,749,25,3.20%
Finland,NEPAL,KATHMANDU,,,,,,687,553,18,3.30%,5,124,18.00%,687,558,124,18.00%
Finland,NIGERIA,ABUJA,,,,,,788,261,39,14.90%,27,488,61.90%,788,288,488,61.90%
Finland,NORWAY,OSLO,,,,,,2,,,,2,,,2,2,,
Finland,PERU,LIMA,,,,,,7,7,5,71.40%,,,,7,7,,
Finland,POLAND,WARSAW,,,,,,2,1,,,1,,,2,2,,
Finland,ROMANIA,BUCHAREST,,,,,,16,12,8,66.70%,1,3,18.80%,16,13,3,18.80%
Finland,RUSSIAN FEDERATION,MOSCOW,,,,,,72955,71375,60777,85.20%,139,1358,1.90%,"72,955","71,514","1,358",1.90%
Finland,RUSSIAN FEDERATION,MURMANSK,,,,,,22590,22414,22232,99.20%,1,163,0.70%,"22,590","22,415",163,0.70%
Finland,RUSSIAN FEDERATION,PETROZAVODSK,,,,,,32413,32233,31835,98.80%,11,132,0.40%,"32,413","32,244",132,0.40%
Finland,RUSSIAN FEDERATION,ST. PETERSBURG,,,,,,541080,538601,536467,99.60%,58,1978,0.40%,"5,41,080","5,38,659","1,978",0.40%
Finland,SAUDI ARABIA,RIYADH,,,,,,130,130,92,70.80%,,,,130,130,,
Finland,SERBIA,BELGRADE,,,,,,14,14,10,71.40%,,,,14,14,,
Finland,SOUTH AFRICA,PRETORIA,,,,,,1420,1346,1148,85.30%,,67,4.70%,"1,420","1,346",67,4.70%
Finland,SOUTH KOREA,SEOUL,,,,,,106,83,8,9.60%,,13,12.30%,106,83,13,12.30%
Finland,SPAIN,MADRID,,,,,,11,,,,10,,,11,10,,
Finland,SWEDEN,STOCKHOLM,,,,,,1,,,,1,,,1,1,,
Finland,SWITZERLAND,BERN,,,,,,5,3,3,100.00%,2,,,5,5,,
Finland,TANZANIA,DAR ES SALAAM,,,,,,372,307,9,2.90%,1,61,16.40%,372,308,61,16.40%
Finland,THAILAND,BANGKOK,,,,,,10078,9587,489,5.10%,23,453,4.50%,"10,078","9,610",453,4.50%
Finland,TUNISIA,TUNIS,,,,,,1998,1411,242,17.20%,4,571,28.60%,"1,998","1,415",571,28.60%
Finland,TURKEY,ANKARA,,,,,,4014,2989,1942,65.00%,17,928,23.10%,"4,014","3,006",928,23.10%
Finland,UKRAINE,KYIV,3,3,,,,4784,4729,246,5.20%,8,33,0.70%,"4,787","4,740",33,0.70%
Finland,UNITED ARAB EMIRATES,ABU DHABI,,,,,,2331,1774,395,22.30%,2,541,23.20%,"2,331","1,776",541,23.20%
Finland,UNITED KINGDOM,LONDON,1,1,,,,2268,2217,672,30.30%,11,22,1.00%,"2,269","2,229",22,1.00%
Finland,USA,"LOS ANGELES, CA",,,,,,370,329,93,28.30%,,21,5.70%,370,329,21,5.70%
Finland,USA,"NEW YORK, NY",,,,,,895,791,183,23.10%,1,82,9.20%,895,792,82,9.20%
Finland,VIETNAM,HANOI,,,,,,1407,1070,61,5.70%,20,296,21.00%,"1,407","1,090",296,21.00%
France,AFGHANISTAN,KABUL,,,,,,677,656,388,59.10%,50,3,0.40%,677,706,3,0.40%
France,ALBANIA,TIRANA,,,,,,137,129,43,33.30%,1,2,1.50%,137,130,2,1.50%
France,ALGERIA,ALGIERS,435,435,,,,269542,144373,42996,29.80%,170,123565,45.80%,"2,69,977","1,44,978","1,23,565",45.80%
France,ALGERIA,ANNABA,,,,,,135208,70584,11852,16.80%,56,65836,48.70%,"1,35,208","70,640","65,836",48.70%
France,ALGERIA,ORAN,1,1,,,,139835,66006,10969,16.60%,26,75742,54.20%,"1,39,836","66,033","75,742",54.20%
France,ANGOLA,LUANDA,1,1,,,,2017,1225,158,12.90%,,753,37.30%,"2,018","1,226",753,37.30%
France,ARGENTINA,BUENOS AIRES,,,,,,161,152,47,30.90%,,6,3.70%,161,152,6,3.70%
France,ARMENIA,YEREVAN,1,1,,,,6591,5260,958,18.20%,2,1328,20.10%,"6,592","5,263","1,328",20.10%
France,AUSTRALIA,CANBERRA,,,,,,2,2,,,,,,2,2,,
France,AUSTRALIA,SYDNEY,,,,,,1627,1504,100,6.60%,,52,3.20%,"1,627","1,504",52,3.20%
France,AUSTRIA,VIENNA,,,,,,63,49,,,,13,20.60%,63,49,13,20.60%
France,AZERBAIJAN,BAKU,,,,,,16995,14899,4606,30.90%,,1578,9.30%,"16,995","14,899","1,578",9.30%
France,BAHRAIN,MANAMA,,,,,,8557,8336,3581,43.00%,2,185,2.20%,"8,557","8,338",185,2.20%
France,BANGLADESH,DHAKA,1,,,1,100.00%,5048,3134,311,9.90%,95,1748,34.60%,"5,049","3,229","1,749",34.60%
France,BELARUS,MINSK,2,2,,,,11813,11524,4007,34.80%,,208,1.80%,"11,815","11,526",208,1.80%
France,BELGIUM,BRUSSELS,,,,,,38,33,2,6.10%,,2,5.30%,38,33,2,5.30%
France,BENIN,COTONOU,,,,,,11229,9694,2294,23.70%,1,1401,12.50%,"11,229","9,695","1,401",12.50%
France,BOLIVIA,LA PAZ,,,,,,137,135,27,20.00%,,1,0.70%,137,135,1,0.70%
France,BOSNIA AND HERZEGOVINA,SARAJEVO,,,,,,23,19,4,21.10%,,2,8.70%,23,19,2,8.70%
France,BRAZIL,BRASILIA,4,3,,,,564,508,161,31.70%,,54,9.60%,568,511,54,9.50%
France,BRAZIL,RIO DE JANEIRO,3,3,,,,219,197,16,8.10%,,14,6.40%,222,200,14,6.30%
France,BRAZIL,SAO PAULO,3,,,5,166.70%,224,169,15,8.90%,,51,22.80%,227,169,56,24.70%
France,BULGARIA,SOFIA,,,,,,270,245,5,2.00%,,15,5.60%,270,245,15,5.60%
France,BURKINA FASO,OUAGADOUGOU,,,,,,11769,9690,2993,30.90%,,1713,14.60%,"11,769","9,690","1,713",14.60%
France,BURUNDI,BUJUMBURA,,,,,,57,53,,,,2,3.50%,57,53,2,3.50%
France,CAMBODIA,PHNOM PENH,3,3,,,,7724,6610,1134,17.20%,,1020,13.20%,"7,727","6,613","1,020",13.20%
France,CAMEROON,DOUALA,7,3,,4,57.10%,8388,5650,1569,27.80%,6,2370,28.30%,"8,395","5,659","2,374",28.30%
France,CAMEROON,GAROUA,,,,,,11,9,2,22.20%,,1,9.10%,11,9,1,9.10%
France,CAMEROON,YAONDE,14,7,,6,42.90%,12576,9212,1631,17.70%,,3133,24.90%,"12,590","9,219","3,139",24.90%
France,CANADA,MONTREAL,5,5,,,,6565,5528,288,5.20%,1,739,11.30%,"6,570","5,534",739,11.20%
France,CANADA,OTTAWA,,,,,,12,11,,,,,,12,11,,
France,CANADA,TORONTO,,,,,,1289,1263,132,10.50%,,21,1.60%,"1,289","1,263",21,1.60%
France,CANADA,VANCOUVER,,,,,,1153,1142,100,8.80%,,4,0.30%,"1,153","1,142",4,0.30%
France,CENTRAL AFRICAN REPUBLIC,BANGUI,13,7,,4,30.80%,4101,2562,549,21.40%,5,1469,35.80%,"4,114","2,574","1,473",35.80%
France,CHAD,N'DJAMENA,3,,,3,100.00%,7419,5128,2699,52.60%,,2209,29.80%,"7,422","5,128","2,212",29.80%
France,CHILE,SANTIAGO DE CHILE,11,11,,,,192,149,11,7.40%,,36,18.80%,203,160,36,17.70%
France,CHINA,BEIJING,5,4,,1,20.00%,241836,226142,39297,17.40%,2,14391,6.00%,"2,41,841","2,26,148","14,392",6.00%
France,CHINA,CHENGDU,1,1,,,,78329,76503,4894,6.40%,,1373,1.80%,"78,330","76,504","1,373",1.80%
France,CHINA,GUANGZHOU (CANTON),8,7,,1,12.50%,130196,122980,23744,19.30%,1,6236,4.80%,"1,30,204","1,22,988","6,237",4.80%
France,CHINA,SHANGHAI,19,17,,2,10.50%,243836,224583,33883,15.10%,2,18025,7.40%,"2,43,855","2,24,602","18,027",7.40%
France,CHINA,SHENYANG,4,4,,,,63801,61772,2532,4.10%,,1941,3.00%,"63,805","61,776","1,941",3.00%
France,CHINA,WUHAN,1,1,,,,58721,56764,1871,3.30%,,1827,3.10%,"58,722","56,765","1,827",3.10%
France,COLOMBIA,BOGOTA,5,4,,1,20.00%,167,152,63,41.40%,,13,7.80%,172,156,14,8.10%
France,COMOROS,MORONI,,,,,,1599,970,377,38.90%,252,591,37.00%,"1,599","1,222",591,37.00%
France,COMOROS,MUTSAMUDU,,,,,,110,65,24,36.90%,5,42,38.20%,110,70,42,38.20%
France,CONGO (BRAZZAVILLE),BRAZZAVILLE,11,10,,,,8201,5731,1156,20.20%,4,2284,27.90%,"8,212","5,745","2,284",27.80%
France,CONGO (BRAZZAVILLE),POINTE NOIRE,12,10,,1,8.30%,5203,3418,831,24.30%,,1735,33.30%,"5,215","3,428","1,736",33.30%
France,CONGO (DEMOCRATIC REPUBLIC),KINSHASA,3,3,,,,780,576,6,1.00%,,70,9.00%,783,579,70,8.90%
France,COTE D'IVOIRE,ABIDJAN ,91,73,,12,13.20%,49650,34307,8838,25.80%,12,15126,30.50%,"49,741","34,392","15,138",30.40%
France,CROATIA,ZAGREB,,,,,,161,157,67,42.70%,,2,1.20%,161,157,2,1.20%
France,CUBA,HAVANA,645,625,,14,2.20%,6276,5535,989,17.90%,,688,11.00%,"6,921","6,160",702,10.10%
France,CYPRUS,NICOSIA,,,,,,438,392,52,13.30%,,29,6.60%,438,392,29,6.60%
France,DENMARK,COPENHAGEN,,,,,,10,9,,,,,,10,9,,
France,DJIBOUTI,DJIBOUTI,,,,,,3241,2268,652,28.70%,,895,27.60%,"3,241","2,268",895,27.60%
France,DOMINICAN REPUBLIC,SANTO DOMINGO,80,60,,19,23.80%,5294,4079,624,15.30%,,1171,22.10%,"5,374","4,139","1,190",22.10%
France,ECUADOR,QUITO,2,2,,,,4994,4253,461,10.80%,,663,13.30%,"4,996","4,255",663,13.30%
France,EGYPT,CAIRO,4,4,,,,60165,45733,13514,29.50%,341,11941,19.80%,"60,169","46,078","11,941",19.80%
France,EQUATORIAL GUINEA,MALABO,,,,,,2277,1625,532,32.70%,19,601,26.40%,"2,277","1,644",601,26.40%
France,ETHIOPIA,ADDIS ABEBA,4,2,,1,25.00%,4615,3309,367,11.10%,6,1178,25.50%,"4,619","3,317","1,179",25.50%
France,FIJI,SUVA,,,,,,3,2,,,,1,33.30%,3,2,1,33.30%
France,FINLAND,HELSINKI,,,,,,1,1,,,,,,1,1,,
France,GABON,LIBREVILLE,,,,,,20640,15633,2733,17.50%,,4772,23.10%,"20,640","15,633","4,772",23.10%
France,GEORGIA,TBILISSI,,,,,,287,220,79,35.90%,1,53,18.50%,287,221,53,18.50%
France,GERMANY,BERLIN,,,,,,3,3,,,,,,3,3,,
France,GERMANY,FRANKFURT/MAIN,,,,,,34,30,5,16.70%,,,,34,30,,
France,GHANA,ACCRA,,,,,,132,128,,,,,,132,128,,
France,GREECE,ATHENS,,,,,,7,7,2,28.60%,,,,7,7,,
France,GUATEMALA,GUATEMALA CITY,,,,,,6,4,,,,,,6,4,,
France,GUINEA,CONAKRY,55,36,,16,29.10%,9855,5192,1305,25.10%,,4405,44.70%,"9,910","5,228","4,421",44.60%
France,HAITI,PORT AU PRINCE,9,8,,1,11.10%,7429,4627,649,14.00%,,2731,36.80%,"7,438","4,635","2,732",36.70%
France,HONG KONG S.A.R.,HONG KONG,6,5,,,,4300,4151,1339,32.30%,,53,1.20%,"4,306","4,156",53,1.20%
France,INDIA,BANGALORE,21,19,,1,4.80%,45048,42308,4772,11.30%,15,2362,5.20%,"45,069","42,342","2,363",5.20%
France,INDIA,KOLKATA,,,,,,18810,18120,2286,12.60%,,617,3.30%,"18,810","18,120",617,3.30%
France,INDIA,MUMBAI,43,35,,8,18.60%,69603,60962,9912,16.30%,,8171,11.70%,"69,646","60,997","8,179",11.70%
France,INDIA,NEW DELHI,30,21,,8,26.70%,71222,59861,7273,12.10%,1,10663,15.00%,"71,252","59,883","10,671",15.00%
France,INDIA,PONDICHERY,13,12,,1,7.70%,24470,22319,1895,8.50%,,1901,7.80%,"24,483","22,331","1,902",7.80%
France,INDONESIA,JAKARTA,1,,,1,100.00%,55959,54985,13027,23.70%,,777,1.40%,"55,960","54,985",778,1.40%
France,IRAN,TEHERAN,24,17,,5,20.80%,59967,41359,10060,24.30%,96,19816,33.00%,"59,991","41,472","19,821",33.00%
France,IRAQ,BAGHDAD,4,3,,,,6137,3816,760,19.90%,97,2179,35.50%,"6,141","3,916","2,179",35.50%
France,IRAQ,ERBIL,,,,,,13302,4746,802,16.90%,10,8369,62.90%,"13,302","4,756","8,369",62.90%
France,IRELAND,DUBLIN,,,,,,2173,2086,185,8.90%,4,43,2.00%,"2,173","2,090",43,2.00%
France,ISRAEL,HAIFA,,,,,,14,13,6,46.20%,,2,14.30%,14,13,2,14.30%
France,ISRAEL,JERUSALEM,4,4,,,,4159,3799,1210,31.90%,28,309,7.40%,"4,163","3,831",309,7.40%
France,ISRAEL,TEL AVIV,4,4,,,,613,577,80,13.90%,,18,2.90%,617,581,18,2.90%
France,ITALY,ROME,,,,,,38,38,6,15.80%,,,,38,38,,
France,JAPAN,TOKYO,,,,,,2753,2592,682,26.30%,2,107,3.90%,"2,753","2,594",107,3.90%
France,JORDAN,AMMAN,3,1,,1,33.30%,5547,4909,1692,34.50%,3,549,9.90%,"5,550","4,913",550,9.90%
France,KAZAKHSTAN,ALMATY,,,,,,10514,9700,2582,26.60%,,602,5.70%,"10,514","9,700",602,5.70%
France,KAZAKHSTAN,ASTANA,,,,,,66,60,16,26.70%,,,,66,60,,
France,KENYA,NAIROBI,1,1,,,,5059,4647,1141,24.60%,2,310,6.10%,"5,060","4,650",310,6.10%
France,KUWAIT,KUWAIT,,,,,,52724,50405,41998,83.30%,441,1652,3.10%,"52,724","50,846","1,652",3.10%
France,LAOS,VIENTIANE,1,1,,,,2779,2463,225,9.10%,,299,10.80%,"2,780","2,464",299,10.80%
France,LEBANON,BEIRUT,19,8,,10,52.60%,58825,52515,13200,25.10%,137,5665,9.60%,"58,844","52,660","5,675",9.60%
France,MADAGASCAR,ANTANANARIVO,1,1,,,,20630,15692,3435,21.90%,,4706,22.80%,"20,631","15,693","4,706",22.80%
France,MALAYSIA,KUALA LUMPUR,2,1,,1,50.00%,1465,1191,104,8.70%,,229,15.60%,"1,467","1,192",230,15.70%
France,MALI,BAMAKO,41,28,,9,22.00%,16968,12708,3332,26.20%,12,3730,22.00%,"17,009","12,748","3,739",22.00%
France,MALTA,VALETTA,,,,,,7,7,,,,,,7,7,,
France,MAURITANIA,NOUAKCHOTT,20,13,,7,35.00%,5085,4006,1125,28.10%,1,950,18.70%,"5,105","4,020",957,18.70%
France,MAURITIUS,PORT LOUIS,1,1,,,,878,822,297,36.10%,,17,1.90%,879,823,17,1.90%
France,MEXICO,MEXICO CITY,21,16,,,,206,174,21,12.10%,,13,6.30%,227,190,13,5.70%
