Schengen State,Country where consulate is located,Consulate,ATVs applied, ATVs issued (including multiple),Multiple ATVs issued,ATVs not issued ,Not issued rate for ATVs,Uniform visas applied for,"uniform visas issued including MEVs
",Multiple entry uniform visas (MEVs) issued,Share of MEVs on total number of uniform visas issued,Total LTVs issued,Uniform visas not issued,Not issued rate for uniform visas,Total ATVs and uniform visas applied for,"Total ATVs and uniform visas issued  (including multiple ATVs, MEVs and LTVs) ",Total ATVs and uniform visas not issued,Not issued rate for ATVs and uniform visas 
Belgium,USA,"WASHINGTON, DC",1,1,1,,,859,733,621,84.70%,1,35,4.10%,860,735,35,4.10%
Belgium,VIETNAM,HANOI,,,,,,2006,1755,985,56.10%,17,190,9.50%,"2,006","1,772",190,9.50%
Czech Republic,AFGHANISTAN,KABUL,,,,,,108,64,26,40.60%,41,1,0.90%,108,105,1,0.90%
Czech Republic,ALBANIA,TIRANA,,,,,,16,11,5,45.50%,1,4,25.00%,16,12,4,25.00%
Czech Republic,ALGERIA,ALGIERS,,,,,,996,537,168,31.30%,,458,46.00%,996,537,458,46.00%
Czech Republic,ARGENTINA,BUENOS AIRES,,,,,,2,2,2,100.00%,,,,2,2,,
Czech Republic,ARMENIA,YEREVAN,,,,,,3167,2635,602,22.80%,1,531,16.80%,"3,167","2,636",531,16.80%
Czech Republic,AUSTRALIA,SYDNEY,,,,,,407,404,148,36.60%,2,1,0.20%,407,406,1,0.20%
Czech Republic,AUSTRIA,VIENNA,,,,,,12,8,6,75.00%,4,,,12,12,,
Czech Republic,AZERBAIJAN,BAKU,,,,,,4949,4695,564,12.00%,,245,5.00%,"4,949","4,695",245,5.00%
Czech Republic,BELARUS,MINSK,,,,,,12749,12744,6636,52.10%,,5,0.00%,"12,749","12,744",5,0.00%
Czech Republic,BELGIUM,BRUSSELS,,,,,,2,2,1,50.00%,,,,2,2,,
Czech Republic,BOSNIA AND HERZEGOVINA,SARAJEVO,,,,,,105,104,30,28.80%,1,,,105,105,,
Czech Republic,BRAZIL,BRASILIA,,,,,,4,4,,,,,,4,4,,
Czech Republic,BRAZIL,SAO PAULO,,,,,,21,19,2,10.50%,,2,9.50%,21,19,2,9.50%
Czech Republic,BULGARIA,SOFIA,,,,,,144,135,63,46.70%,,9,6.30%,144,135,9,6.30%
Czech Republic,CANADA,OTTAWA,,,,,,92,92,23,25.00%,,,,92,92,,
Czech Republic,CANADA,TORONTO,,,,,,392,391,52,13.30%,,1,0.30%,392,391,1,0.30%
Czech Republic,CHILE,SANTIAGO DE CHILE,,,,,,6,6,1,16.70%,,,,6,6,,
Czech Republic,CHINA,BEIJING,,,,,,67330,65229,6063,9.30%,,2099,3.10%,"67,330","65,229","2,099",3.10%
Czech Republic,CHINA,CHENGDU,,,,,,19268,18941,1403,7.40%,1,326,1.70%,"19,268","18,942",326,1.70%
Czech Republic,CHINA,SHANGHAI,,,,,,35634,34715,2449,7.10%,6,913,2.60%,"35,634","34,721",913,2.60%
